"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
                THIITI,2847,3030,5877,1165,33.44,175.75,,,
                    KIRUNDI,1307,1389,2696,536,13.44,200.6,,,
                    THIITI,1540,1641,3181,629,20,159.05,,,
            THARAKA SOUTH,16667,18012,34679,7228,303.45,114.28,,,
                CHIAKARIGA,2941,3489,6430,1324,53.98,119.13,,,
                    CHIAKARIGA,1791,2169,3960,836,39.87,99.32,,,
                    MATIRI,1150,1320,2470,488,14.1,175.13,,,
                GAKURUNGU,3028,3262,6290,1331,32.11,195.87,,,
                    GAKURUNGU,876,885,1761,378,13.87,126.94,,,
                    MURINDA,1459,1621,3080,662,7.29,422.55,,,
                    MWERERA,693,756,1449,291,10.95,132.31,,,
                KAMANYAKI,1338,1429,2767,572,45.33,61.04,,,
                    KAMANYAKI,734,768,1502,282,25.98,57.81,,,
                    KIRUKUMA,604,661,1265,290,19.35,65.39,,,
                KAMARANDI,2038,2232,4270,788,72.79,58.66,,,
                    KAMARANDI,1300,1424,2724,513,34.78,78.32,,,
                    UTURINI,738,808,1546,275,38.01,40.67,,,
                NKARINI,2828,2965,5793,1145,38.9,148.93,,,
                    GACERAKA,1113,1184,2297,476,19.9,115.4,,,
                    NKARINI,1715,1781,3496,669,18.99,184.07,,,
                TUNYAI,4494,4635,9129,2068,60.34,151.29,,,
                    GAKIRWE,824,818,1642,345,6.85,239.63,,,
                    KITHINO,949,1004,1953,488,12.25,159.45,,,
                    TUBUI,764,726,1490,292,8.54,174.5,,,
                    TUNYAI,1957,2087,4044,943,32.7,123.66,,,
        EMBU,146043,150949,296992,80138,725.52,409.35,,,
            CENTRAL,30035,31105,61140,18793,69.54,879.15,,,
                MUNICIPALITY,20813,21879,42692,13985,23.44,1821.36,,,
                    DALLAS/STADIUM,9168,9599,18767,6901,3.42,5480.54,,,
                    KAMIU,7524,7496,15020,4810,6.51,2305.45,,,
                    NJUKIRI,2196,2419,4615,1373,8.87,520.52,,,
                    NTHAMBO,1925,2365,4290,901,4.63,925.75,,,
                MBETI NORTH,9222,9226,18448,4808,46.1,400.13,,,
                    KIANGIMA,2096,2249,4345,1118,6.12,709.8,,,
                    GATITURI,3005,2870,5875,1604,11.46,512.8,,,
                    ITABUA,4121,4107,8228,2086,28.53,288.43,,,
            MANYATTA,36233,37608,73841,19131,111.66,661.3,,,
                RUGURU,4539,4860,9399,2404,16.82,558.7,,,
                    KITHUNGURIRI,1390,1512,2902,739,5.9,491.63,,ENA,
                    KIRIARI,1623,1791,3414,912,5.76,592.19,,,
                    KIAMWINJA,527,528,1055,264,1.67,631.02,,,
                    MUKURIA,999,1029,2028,489,3.48,582.22,,,
                NGANDORI WEST,5018,5021,10039,2609,16.28,616.8,,,
                    KAIRURI,1469,1550,3019,789,5,603.25,,,
                    MUKANGU,1239,1268,2507,651,4.56,549.4,,,
                    KATHANGARI,984,903,1887,511,3.23,584.03,,,
                    KITHUNGURURU,1326,1300,2626,658,3.48,755.23,,,
                KATHANGARIRI,4563,4638,9201,2376,14.9,617.53,,,
                    NGUVIU,2883,2979,5862,1552,10.26,571.5,,,
                    RUGUMA,1680,1659,3339,824,4.64,719.22,,,
                MBUVORE,4540,4683,9223,2149,12.98,710.61,,,
                    MBUVORE,4540,4683,9223,2149,12.98,710.61,,,
                GATURI NORTH,6243,6649,12892,3442,18.49,697.32,,,
                    KAVUTIRI,2040,2199,4239,1086,6.69,633.46,,,
                    KIANJUKI,2216,2278,4494,1165,6.66,675.04,,,
                    ITONGURI,1987,2172,4159,1191,5.14,809.36,,,
                KIBUGU,5060,5027,10087,2651,15.89,634.61,,,
                    KIBUGU,1440,1415,2855,740,4.81,593.78,,,
                    NGERWE,1376,1432,2808,714,5.34,525.5,,,
                    GICHERORI,2244,2180,4424,1197,5.74,770.3,,,
                NGANDORI EAST,6270,6730,13000,3500,16.3,797.5,,,
                    MANYATTA,1375,1658,3033,743,3.31,915.46,,,
                    KARIARI,1032,1075,2107,603,2.25,934.91,,,
                    KIRIGI,1639,1671,3310,926,4.38,755.74,,,
                    KAMVIU,1058,1085,2143,581,3.25,659.36,,,
                    RIANJAGI,1166,1241,2407,647,3.1,775.38,,,
            KYENI,24110,24874,48984,12844,100.42,487.81,,,
                KYENI EAST,3924,4012,7936,2055,17.21,461.1,,,
                    KIGUMO,2722,2846,5568,1455,9.17,607.1,HIMU,,
                    MUKURIA,1202,1166,2368,600,8.04,294.54,,,
                KYENI SOUTH,6351,6198,12549,3220,42.61,294.52,,,
                    KASAFARI,674,682,1356,320,8.97,151.2,,,
                    KIRURUMO,2209,2271,4480,1200,13.43,333.49,,,
                    KATHUNGURI,1059,1036,2095,537,5.18,404.44,,,
                    KARIRU,2409,2209,4618,1163,15.03,307.34,,,
                KYENI N. WEST,5366,6029,11395,2896,14.72,774.08,,,
                    MUFU,2263,2773,5036,1246,7.14,705.19,,,
                    RUKURIRI,1638,1799,3437,918,3.31,1037.84,,,
                    NJERURI,1465,1457,2922,732,4.27,684.68,,,
                KYENI N.EAST,5014,5137,10151,2774,14.46,702.15,,,
                    KATHARI,1763,1856,3619,1039,4.92,735.72,,,
                    KIANGUNGI,1574,1568,3142,824,4.48,700.7,,,
                    IRIARI,1677,1713,3390,911,5.05,670.76,,,
                KYENI CENTRAL,3455,3498,6953,1899,11.42,608.92,,,
                    KATHANJURI,2203,2261,4464,1175,6.22,717.78,,,
                    NYAGARI,1252,1237,2489,724,5.2,478.72,,,
            RUNYENJES,33937,35041,68978,18167,153.44,449.54,,,
                RUNYENJES WEST,5622,5751,11373,3056,13.27,856.95,,,
                    GIKUURI,2639,2739,5378,1387,5.49,979.46,,,
                    MBIRURI,1360,1423,2783,799,3.48,800.56,,,
                    GITARE,1623,1589,3212,870,4.3,746.21,,,
                KAGAARI EAST,4539,4541,9080,2330,38.77,234.21,,,
                    KIRINGA,1800,1717,3517,852,24.62,142.87,,,
                    GICHERA,2739,2824,5563,1478,14.15,393.08,,,
                RUNYENJES EAST,5966,6261,12227,3342,18.08,676.26,,,
                    GICHICHE,2700,2978,5678,1569,8.6,660.22,,,
                    KIGAA,3266,3283,6549,1773,9.48,690.82,,,
                KAGAARI N.EAST,5430,5790,11220,2968,20.07,559.02,,,
                    KANJA NORTH,1661,1812,3473,935,5.3,655.23,,,
                    KANJA SOUTH,1562,1655,3217,882,5.77,557.67,,,
                    MUKUURI,897,1011,1908,502,3.38,564.6,,,
                    NDUURI,1310,1312,2622,649,5.62,466.36,,,
                KAGAARI S.WEST,5684,5662,11346,2840,39.54,286.98,,,
                    KAWANJARA,1922,1915,3837,981,7.32,524.01,,,
                    NTHAGAYIA,2855,2969,5824,1431,20.49,284.21,,,
                    MARANGA,907,778,1685,428,11.72,143.75,,,
                KAGAARI N. WEST,6696,7036,13732,3631,23.71,579.12,,,
                    MUGUI,2121,2174,4295,1145,7.19,597.07,,,
                    KIANJOKOMA,2126,2177,4303,1164,6.99,615.36,,,
                    MBUINJERU,1915,2111,4026,1039,6.69,602.23,,,
                    KAMUGERE,534,574,1108,283,2.84,390.06,,,
            NEMBURE,21728,22321,44049,11203,87.65,502.53,,,
                KITHIMU,9329,9670,18999,4769,46.6,407.72,,,
                    ENA WEST,954,1050,2004,507,3.59,558.89,,,
                    KITHEGI,3292,3358,6650,1648,22.45,296.18,,,
                    KITHIMU,5083,5262,10345,2614,20.56,503.15,,,
                MAKENGI,5680,5826,11506,2968,18.95,607.18,,,
                    KEVOTE,2932,3072,6004,1568,11.06,542.82,,,
                    MAKENGI,2748,2754,5502,1400,7.89,697.42,,,
                GATURI SOUTH,6719,6825,13544,3466,22.11,612.69,,,
                    NEMBURE,2233,2346,4579,1189,7.42,617.49,,,
                    GATUNDURI,2865,2799,5664,1476,9.04,626.75,,,
                    ENA EAST,1621,1680,3301,801,5.65,583.91,,,
            MT. KENYA FOREST,0,0,0,0,202.81,0,,,
                MT. KENYA FOREST,0,0,0,0,202.81,0,,,
                    MT. KENYA FOREST,0,0,0,0,202.81,0,,,
        MBEERE,108260,110960,219220,51545,2092.51,104.76,,,
            EVURORE,21327,24255,45582,10317,409.8,111.23,,,
                KIANG'OMBE,3919,4486,8405,1864,63.27,132.84,,,
                    KATHERA,2560,3015,5575,1237,38.48,144.87,,,
                    KARIRU,1359,1471,2830,627,24.79,114.17,,,
                NDURUMORI,4975,5730,10705,2301,165.03,64.87,,,
                    NTHAMBU,2272,2707,4979,1102,66.08,75.35,,,
                    IRIA ITUNE,2703,3023,5726,1199,98.95,57.86,,,
                ISHIARA,6725,7891,14616,3188,133.61,109.39,,,
                    EVURORE,4072,4703,8775,1983,45.41,193.24,,,
                    KAMARANDI,2653,3188,5841,1205,88.2,66.22,,,
                KANYUAMBORA,5708,6148,11856,2964,47.89,247.59,,,
                    NGUTHI,3037,3202,6239,1530,26.22,237.95,,,
                    NGURA,2671,2946,5617,1434,21.66,259.27,,,
            SIAKAGO,21409,22044,43453,10647,361.25,120.29,,,
                NTHAWA,8764,8797,17561,4566,87.52,200.64,,,
                    SIAKAGO,4069,4147,8216,2270,26.1,314.79,,,
                    RIANDU,4695,4650,9345,2296,61.42,152.14,,,
                GITIBURI,4703,4461,9164,2189,48.99,187.07,,,
                    GITIBURI,3216,2997,6213,1460,39.04,159.13,,,
                    THURA,1487,1464,2951,729,9.94,296.74,,,
                MUMINJI,4278,4754,9032,2041,102.97,87.71,,,
                    GANGARA,2496,2865,5361,1183,61.31,87.44,,,
                    KARAMBARI,1782,1889,3671,858,41.66,88.11,,,
                MUTITU,3664,4032,7696,1851,121.76,63.21,,,
                    NGUTHI,1090,1288,2378,529,28.58,83.2,,,
                    MUTITU,1847,1871,3718,948,64.99,57.21,,,
                    KIRIE,727,873,1600,374,28.19,56.76,,,
            MAKIMA,10841,10450,21291,4896,342.19,62.22,,,
                MAKIMA,10841,10450,21291,4896,342.19,62.22,,,
                    MAKIMA,2135,2110,4245,1044,42.05,100.96,,,
                    MWEA GRAZING,4763,4580,9343,2098,115.4,80.96,,,
                    MBONDONI,3929,3748,7677,1740,129.49,59.28,,,
                    MWEA N. RESERVE,14,12,26,14,55.25,0.47,,,
            MWEA,14904,15213,30117,7334,172.7,174.39,,,
                KARABA,9273,9289,18562,4664,84,220.97,,,
                    KARABA,4285,4394,8679,2082,49.9,173.93,,,
                    WACHORO,4988,4895,9883,2582,34.1,289.79,,,
                RIAKANAU,5631,5924,11555,2670,88.69,130.28,,,
                    RIAKANAU,3235,3438,6673,1558,63.67,104.81,,,
                    GATEGI,2396,2486,4882,1112,25.02,195.1,,,
            GACHOKA,20642,19160,39802,9549,297.64,133.72,,,
                MBETI SOUTH,9356,8681,18037,4713,170.22,105.96,,,
                    KIAMURINGA,2622,2351,4973,1238,43.11,115.35,,,
                    GACHOKA,3745,3557,7302,1754,57.67,126.62,,,
                    GACHURIRI,2989,2773,5762,1721,69.44,82.98,,,
                MBITA,5899,5412,11311,2536,47.24,239.45,,,
                    GIKIIRO,3463,3164,6627,1463,22.82,290.36,,,
                    MBITA,2436,2248,4684,1073,24.41,191.86,,,
                KIANJIRU,5387,5067,10454,2300,80.18,130.38,,,
                    KIRIMA,3477,3381,6858,1522,60.6,113.17,,,
                    NYANGWA,1910,1686,3596,778,19.58,183.63,,,
            KIRITIRI,19137,19838,38975,8802,508.94,76.58,,,
                MAVURIA,4261,4406,8667,1923,92.04,94.16,,,
                    KOMBO MUNYIRI,2244,2440,4684,1021,31.05,150.84,,,
                    MAVURIA,2017,1966,3983,902,60.99,65.31,,,
                KITHUNTHIRI,4276,4197,8473,1920,42.52,199.28,,,
                    KITHUNTHIRI,2687,2707,5394,1252,27.79,194.11,,,
                    GACEGETHIURI,1589,1490,3079,668,14.73,209.05,,,
                KIAMBERE,3167,3387,6554,1506,99.45,65.91,,,
                    KIAMBERE,2369,2614,4983,1159,68.18,73.08,,,
                    NTHARAWE,798,773,1571,347,31.26,50.25,,,
                GICHICHE,3332,3444,6776,1553,87.39,77.54,,,
                    GICHICHE,1408,1518,2926,672,21.51,136.04,,,
                    NJIGO,1924,1926,3850,881,65.88,58.44,,,
                MUTUOBARE,4101,4404,8505,1900,187.55,45.35,,,
                    KINDARUMA,2878,3042,5920,1355,120.61,49.08,,,
                    GACABARI,1223,1362,2585,545,66.94,38.62,,,
        KITUI,214254,233359,447613,94780,7616.01,58.77,,,
            CENTRAL,65310,70207,135517,30203,755.73,179.32,,,
                ITOLEKA,4026,4513,8539,1931,64.23,132.95,,,
                    ITOLEKA,2671,2955,5626,1297,33.29,169.01,,,
                    KAVUTA,1355,1558,2913,634,30.94,94.15,,,
                KYANGWITHYA EAST,15769,17072,32841,6838,113.24,290,,,
                    MUTUNE,2101,2677,4778,910,10.84,440.84,,,
                    KAVETA,2311,2273,4584,950,8.27,554.02,,,
                    MUSEVE,2996,3378,6374,1307,41.52,153.53,,,
                    MISEWANI,2881,2838,5719,1288,9.59,596.64,,,
                    MULUNDI,3441,3458,6899,1389,24.42,282.52,,,
                    IVAINI,2039,2448,4487,994,18.61,241.1,,,
                MALIKU,5498,6203,11701,2351,155.96,75.02,,,
                    KATHUNGI,1725,1947,3672,751,45.44,80.8,,,
                    KAVISUNI,2142,2261,4403,847,48.82,90.19,,,
                    MALIKU,1631,1995,3626,753,61.7,58.77,,,
                KYANGWITHYA  WEST,8918,9248,18166,3820,109.18,166.39,,,
                    MBUSYANI,836,826,1662,361,7.4,224.46,,,
                    TUNGUTU,3412,3366,6778,1321,20.77,326.38,,,
                    UTOONI,1785,1848,3633,842,28.87,125.82,,,
                    MULUTU,1791,2057,3848,815,28.45,135.24,,,
                    NDUMONI,1094,1151,2245,481,23.68,94.82,,,
                TOWNSHIP,10879,10553,21432,6243,9.62,2227.12,,,
                    TOWNSHIP,6577,6688,13265,3779,4.23,3138.6,,,
                    KALUNDU,2311,1869,4180,1341,2.42,1730.28,,,
                    MANYENGO,1991,1996,3987,1123,2.98,1337.47,,,
                MULANGO,7990,8448,16438,3565,59.81,274.85,,,
                    WIKILILYE,3700,3894,7594,1723,22.15,342.82,,,
                    KYANGUNGA,1841,1924,3765,763,14.76,255.08,,,
                    WII,951,1060,2011,437,11.28,178.25,,,
                    KYAMBITI,1498,1570,3068,642,11.61,264.18,,,
                MIAMBANI,8289,9648,17937,3609,193.26,92.81,,,
                    MUNG'ANG'A,1958,2216,4174,807,50.54,82.59,,,
                    NZAAYA,1706,2080,3786,755,42.95,88.14,,,
                    KAMANDIO / MALILI,2476,2937,5413,1152,62.05,87.23,,,
                    MUTULA,2149,2415,4564,895,37.72,121.01,,,
                KATULANI,3941,4522,8463,1846,50.43,167.83,,,
                    KATULANI,2760,3187,5947,1260,38.02,156.41,,,
                    KWA MULI,1181,1335,2516,586,12.4,202.84,,,
            MATINYANI,20409,22380,42789,9120,264.1,162.02,,,
                KALIMANI,2548,2644,5192,1164,21.24,244.44,,,
                    KAVUVUU,831,877,1708,411,6.51,262.27,,,
                    NZAKAME,715,688,1403,301,4.06,345.31,,,
                    KYAMBUSYA,1002,1079,2081,452,10.67,195.12,,,
                KWA MUTONGA,3206,3626,6832,1391,105.94,64.49,,,
                    SYOKITHUMBI,678,748,1426,274,25.43,56.08,,,
                    MITHIKWANI,1060,1236,2296,471,40.98,56.03,,,
                    MUTONGA,1468,1642,3110,646,39.53,78.67,,,
                KITHUMULA,3623,4084,7707,1674,50.71,151.98,,,
                    KITHUMULA,2823,3101,5924,1295,38.92,152.2,,,
                    KASAINI,800,983,1783,379,11.79,151.26,,,
                KATHIVO,945,1065,2010,465,15.36,130.9,,,
                    KATHIVO,489,564,1053,235,7.34,143.43,,,
                    KALINDILO,456,501,957,230,8.01,119.42,,,
                KWA MULUNGU,1013,1146,2159,448,20.01,107.9,,,
                    KWA MULUNGU,405,471,876,175,6.09,143.9,,,
                    MASELELE,608,675,1283,273,13.92,92.16,,,
                MUTULU,2767,3088,5855,1234,14.4,406.54,,,
                    KITUMBI,215,253,468,101,1.86,251.92,,,
                    MASEKI,802,906,1708,358,4.74,360.14,,,
                    KATHUMA,1750,1929,3679,775,7.8,471.56,,,
                MATINYANI,3663,3626,7289,1556,19.06,382.34,,,
                    KATHEUNI,961,968,1929,426,8.24,234.2,,,
                    KYONDONI,1500,1593,3093,687,5.75,538.29,,,
                    KALIA,1202,1065,2267,443,5.08,446.12,,,
                KAUMA,2644,3101,5745,1188,17.38,330.49,,,
                    KAUMA,1385,1648,3033,653,9.11,332.77,,,
                    MUSOSYA,1259,1453,2712,535,8.27,327.98,,,
            MUTONGUNI,29593,34159,63752,14001,424.96,150.02,,,
                MUSENGO,5224,5871,11095,2532,46.04,240.98,,,
                    KAKUMUTI,851,1011,1862,427,9.13,203.88,,,
                    MUSENGO,4373,4860,9233,2105,36.91,250.15,,,
                KIVANI,1839,2169,4008,872,38.17,105,,,
                    KIVANI,937,1138,2075,438,22.92,90.54,,,
                    KANGUNGI,902,1031,1933,434,15.25,126.72,,,
                MUTONGUNI,6009,7182,13191,2906,50.16,262.96,,,
                    KAIMU,3691,4434,8125,1773,28.28,287.35,,,
